xmsim(64): 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
TOOL:	xmsim(64)	22.03-s012: Started on Jul 06, 2026 at 19:54:00 KST
xmsim
    -MESS
    tb_fdivider

Loading snapshot work_lib.tb_fdivider:module .................... Done
xcelium> run
Time=1505000, clk_in=1, clk_out=1
Time=1515000, clk_in=1, clk_out=1
Time=1525000, clk_in=1, clk_out=0
Time=1535000, clk_in=1, clk_out=0
Time=1545000, clk_in=1, clk_out=0
Time=1555000, clk_in=1, clk_out=0
Time=1565000, clk_in=1, clk_out=0
Time=1575000, clk_in=1, clk_out=1
Time=1585000, clk_in=1, clk_out=1
Time=1595000, clk_in=1, clk_out=1
Time=1605000, clk_in=1, clk_out=1
Time=1615000, clk_in=1, clk_out=1
Time=1625000, clk_in=1, clk_out=0
Time=1635000, clk_in=1, clk_out=0
Time=1645000, clk_in=1, clk_out=0
Time=1655000, clk_in=1, clk_out=0
Time=1665000, clk_in=1, clk_out=0
Time=1675000, clk_in=1, clk_out=1
Time=1685000, clk_in=1, clk_out=1
Time=1695000, clk_in=1, clk_out=1
Time=1705000, clk_in=1, clk_out=1
Time=1715000, clk_in=1, clk_out=1
Time=1725000, clk_in=1, clk_out=0
Time=1735000, clk_in=1, clk_out=0
Time=1745000, clk_in=1, clk_out=0
Time=1755000, clk_in=1, clk_out=0
Time=1765000, clk_in=1, clk_out=0
Time=1775000, clk_in=1, clk_out=1
Time=1785000, clk_in=1, clk_out=1
Time=1795000, clk_in=1, clk_out=1
Time=1805000, clk_in=1, clk_out=1
Time=1815000, clk_in=1, clk_out=1
Time=1825000, clk_in=1, clk_out=0
Time=1835000, clk_in=1, clk_out=0
Time=1845000, clk_in=1, clk_out=0
Time=1855000, clk_in=1, clk_out=0
Time=1865000, clk_in=1, clk_out=0
Time=1875000, clk_in=1, clk_out=1
Time=1885000, clk_in=1, clk_out=1
Time=1895000, clk_in=1, clk_out=1
Time=1905000, clk_in=1, clk_out=1
Time=1915000, clk_in=1, clk_out=1
Time=1925000, clk_in=1, clk_out=0
Time=1935000, clk_in=1, clk_out=0
Time=1945000, clk_in=1, clk_out=0
Time=1955000, clk_in=1, clk_out=0
Time=1965000, clk_in=1, clk_out=0
Time=1975000, clk_in=1, clk_out=1
Time=1985000, clk_in=1, clk_out=1
Time=1995000, clk_in=1, clk_out=1
Time=2005000, clk_in=1, clk_out=1
Time=2015000, clk_in=1, clk_out=1
Simulation complete via $finish(1) at time 2015 NS + 0
./tb_fdivider.v:33 	$finish;
xcelium> exit
TOOL:	xmsim(64)	22.03-s012: Exiting on Jul 06, 2026 at 19:54:01 KST  (total: 00:00:01)
